grid,county,state,place,gradient
30742.0,Stearns,MN,"Stearns County, MN",2397.0
30743.0,Stearns,MN,"Stearns County, MN",2414.0
30744.0,Benton,MN,"Benton County, MN",2431.0
30745.0,Benton,MN,"Benton County, MN",2448.0
30746.0,Mille Lacs,MN,"Mille Lacs County, MN",2465.0
30747.0,Isanti,MN,"Isanti County, MN",2482.0
30748.0,Chisago,MN,"Chisago County, MN",2499.0
30435.0,Big Stone,MN,"Big Stone County, MN",2412.0
30436.0,Big Stone,MN,"Big Stone County, MN",2430.0
30437.0,Swift,MN,"Swift County, MN",2448.0
30438.0,Swift,MN,"Swift County, MN",2466.0
30439.0,Swift,MN,"Swift County, MN",2484.0
30440.0,Kandiyohi,MN,"Kandiyohi County, MN",2502.0
30441.0,Kandiyohi,MN,"Kandiyohi County, MN",2520.0
30442.0,Stearns,MN,"Stearns County, MN",2538.0
30443.0,Stearns,MN,"Stearns County, MN",2556.0
30444.0,Stearns,MN,"Stearns County, MN",2574.0
30445.0,Sherburne,MN,"Sherburne County, MN",2592.0
30446.0,Sherburne,MN,"Sherburne County, MN",2610.0
30447.0,Anoka,MN,"Anoka County, MN",2628.0
30448.0,Anoka,MN,"Anoka County, MN",2646.0
30449.0,Chisago,MN,"Chisago County, MN",2664.0
30135.0,Lac qui Parle,MN,"Lac qui Parle County, MN",2546.0
30136.0,Lac qui Parle,MN,"Lac qui Parle County, MN",2565.0
30137.0,Chippewa,MN,"Chippewa County, MN",2584.0
30138.0,Chippewa,MN,"Chippewa County, MN",2603.0
30139.0,Chippewa,MN,"Chippewa County, MN",2622.0
30140.0,Kandiyohi,MN,"Kandiyohi County, MN",2641.0
30141.0,Kandiyohi,MN,"Kandiyohi County, MN",2660.0
30142.0,Meeker,MN,"Meeker County, MN",2679.0
30143.0,Meeker,MN,"Meeker County, MN",2698.0
30144.0,Wright,MN,"Wright County, MN",2717.0
30145.0,Wright,MN,"Wright County, MN",2736.0
30146.0,Hennepin,MN,"Hennepin County, MN",2755.0
30147.0,Hennepin,MN,"Hennepin County, MN",2774.0
