grid,statefp,county,state
33639.0,53.0,Chelan,WA
33640.0,53.0,Okanogan,WA
33641.0,53.0,Okanogan,WA
33642.0,53.0,Okanogan,WA
33643.0,53.0,Okanogan,WA
33644.0,53.0,Douglas,WA
33645.0,53.0,Okanogan,WA
33646.0,53.0,Ferry,WA
33647.0,53.0,Ferry,WA
33648.0,53.0,Stevens,WA
33649.0,53.0,Stevens,WA
33650.0,53.0,Stevens,WA
33651.0,53.0,Pend Oreille,WA
33652.0,53.0,Pend Oreille,WA
33323.0,53.0,Jefferson,WA
33324.0,53.0,Jefferson,WA
33325.0,53.0,Jefferson,WA
33326.0,53.0,Jefferson,WA
33327.0,53.0,Clallam,WA
33328.0,53.0,Clallam,WA
33329.0,53.0,Jefferson,WA
33332.0,53.0,Snohomish,WA
33333.0,53.0,Snohomish,WA
33334.0,53.0,Snohomish,WA
33335.0,53.0,Snohomish,WA
33336.0,53.0,Chelan,WA
33337.0,53.0,Chelan,WA
33338.0,53.0,Chelan,WA
33339.0,53.0,Chelan,WA
33340.0,53.0,Chelan,WA
33341.0,53.0,Douglas,WA
33342.0,53.0,Douglas,WA
33343.0,53.0,Douglas,WA
33344.0,53.0,Grant,WA
33345.0,53.0,Lincoln,WA
33346.0,53.0,Lincoln,WA
33347.0,53.0,Ferry,WA
33348.0,53.0,Stevens,WA
33349.0,53.0,Stevens,WA
33350.0,53.0,Stevens,WA
33351.0,53.0,Spokane,WA
33352.0,53.0,Spokane,WA
33023.0,53.0,Jefferson,WA
33024.0,53.0,Jefferson,WA
33025.0,53.0,Jefferson,WA
33026.0,53.0,Jefferson,WA
33027.0,53.0,Jefferson,WA
33028.0,53.0,Jefferson,WA
33029.0,53.0,Kitsap,WA
33030.0,53.0,Kitsap,WA
33032.0,53.0,King,WA
33033.0,53.0,King,WA
33034.0,53.0,King,WA
33035.0,53.0,King,WA
33036.0,53.0,King,WA
33037.0,53.0,Chelan,WA
33038.0,53.0,Chelan,WA
33039.0,53.0,Chelan,WA
33040.0,53.0,Douglas,WA
33041.0,53.0,Douglas,WA
33042.0,53.0,Douglas,WA
33043.0,53.0,Douglas,WA
33044.0,53.0,Grant,WA
33045.0,53.0,Lincoln,WA
33046.0,53.0,Lincoln,WA
33047.0,53.0,Lincoln,WA
33048.0,53.0,Lincoln,WA
33049.0,53.0,Lincoln,WA
33050.0,53.0,Spokane,WA
33051.0,53.0,Spokane,WA
33052.0,53.0,Spokane,WA
32724.0,53.0,Grays Harbor,WA
32725.0,53.0,Grays Harbor,WA
32726.0,53.0,Grays Harbor,WA
32727.0,53.0,Mason,WA
32729.0,53.0,Mason,WA
32730.0,53.0,Pierce,WA
32732.0,53.0,King,WA
32733.0,53.0,King,WA
32734.0,53.0,King,WA
32735.0,53.0,Kittitas,WA
32736.0,53.0,Kittitas,WA
32737.0,53.0,Kittitas,WA
32738.0,53.0,Chelan,WA
32739.0,53.0,Chelan,WA
32740.0,53.0,Douglas,WA
32741.0,53.0,Grant,WA
32742.0,53.0,Grant,WA
32743.0,53.0,Grant,WA
32744.0,53.0,Grant,WA
32745.0,53.0,Lincoln,WA
32746.0,53.0,Lincoln,WA
32747.0,53.0,Lincoln,WA
32748.0,53.0,Lincoln,WA
32749.0,53.0,Lincoln,WA
32750.0,53.0,Spokane,WA
32751.0,53.0,Spokane,WA
32752.0,53.0,Spokane,WA
32424.0,53.0,Grays Harbor,WA
32425.0,53.0,Grays Harbor,WA
32426.0,53.0,Grays Harbor,WA
32427.0,53.0,Mason,WA
32428.0,53.0,Mason,WA
32429.0,53.0,Thurston,WA
32430.0,53.0,Pierce,WA
32431.0,53.0,Pierce,WA
32432.0,53.0,Pierce,WA
32433.0,53.0,Pierce,WA
32434.0,53.0,Pierce,WA
32435.0,53.0,Kittitas,WA
32436.0,53.0,Kittitas,WA
32437.0,53.0,Kittitas,WA
32438.0,53.0,Kittitas,WA
32439.0,53.0,Kittitas,WA
32440.0,53.0,Kittitas,WA
32441.0,53.0,Grant,WA
